epoch,avg_reward,option 0 dur,option 1 dur,option 2 dur,option 0 std,option 1 std,option 2 std,option 0 term,option 1 term,option 2 term,option 0 adv,option 1 adv,option 2 adv
1,1.3964714389112753,499,1034,515,1.0,1.0,1.0,0.4841803014278412,0.43592336773872375,0.4995001256465912,0.5405803322792053,0.0333920493721962,0.012555754743516445
2,1.493344755472822,925,737,386,0.9980974197387695,0.9772801995277405,1.019363522529602,0.48734259605407715,0.46205517649650574,0.4352439045906067,0.08508788049221039,0.02087680995464325,-0.043862540274858475
3,2.3915816154707814,701,843,504,0.9910961985588074,0.9650515913963318,1.0104594230651855,0.40442270040512085,0.42395126819610596,0.4608595669269562,0.4023353159427643,0.1272827535867691,-0.07618381828069687
4,3.772545543270781,1010,804,234,0.9837679266929626,0.9537910223007202,0.9958969354629517,0.3275420069694519,0.32285305857658386,0.5212191343307495,0.6187150478363037,0.43600836396217346,-0.05568390712141991
5,5.365787886417701,1404,439,205,0.983840823173523,0.9550561308860779,0.998950183391571,0.21226762235164642,0.3565983474254608,0.46796196699142456,0.5273464322090149,0.36216017603874207,-0.3648711144924164
6,6.844052514303104,1363,489,196,0.9637144207954407,0.9453442096710205,1.00856614112854,0.2633139491081238,0.30423805117607117,0.618268609046936,0.4412279427051544,0.8487476706504822,-1.0206630229949951
7,8.429558256030505,1209,761,78,0.9493691921234131,0.9294734597206116,1.0127761363983154,0.2691696882247925,0.23999586701393127,0.6747877597808838,0.6907243728637695,0.41533803939819336,0.0
8,9.661134854054554,1148,827,73,0.9582124948501587,0.9253078103065491,1.0127884149551392,0.2338692992925644,0.1564113348722458,0.654352605342865,0.5660258531570435,0.6720179915428162,0.0
9,11.645667819119518,797,1196,55,0.9516680836677551,0.9205911755561829,1.0127884149551392,0.2525281608104706,0.05880209058523178,0.6227577924728394,1.5788849592208862,0.7965059876441956,-0.5688138008117676
10,13.285212937637905,1102,865,81,0.9528899788856506,0.9080191850662231,0.9789563417434692,0.17913088202476501,0.08339305967092514,0.7479627728462219,0.7071181535720825,0.7189903259277344,0.0
11,15.660453487527754,856,1153,39,0.9584534764289856,0.9024772047996521,0.9778812527656555,0.140902578830719,0.057763099670410156,0.6942598819732666,1.549304723739624,0.632742166519165,0.0
