#{"t_start": 1534991337.2408748, "env_id": "HalfCheetah-v2"}
r,l,t
-660.404292,1000,3.012807
-673.644178,1000,5.366372
-625.772559,1000,11.367494
-764.393968,1000,13.645375
-601.351672,1000,19.350719
-539.362297,1000,21.66148
-622.146694,1000,26.843738
-599.558345,1000,29.02156
-680.887688,1000,34.81466
-612.15584,1000,37.15708
-519.747275,1000,42.764522
-573.489422,1000,45.033849
-485.012558,1000,50.753063
-602.58236,1000,53.085092
-609.273334,1000,58.707419
-703.270568,1000,60.911181
-637.404534,1000,66.620539
-613.714973,1000,68.948607
-706.359412,1000,74.543713
-464.402729,1000,76.77315
-618.649693,1000,82.366849
-594.299621,1000,84.63256
-551.960157,1000,90.213981
-650.613818,1000,92.487946
-400.031264,1000,97.889444
-563.505459,1000,100.076605
-462.197264,1000,105.876573
-412.777425,1000,108.176724
-506.94877,1000,113.329761
-434.077223,1000,115.699605
-521.098195,1000,121.019817
-437.719308,1000,123.29078
-423.412305,1000,128.539724
-412.254119,1000,130.915804
-442.691298,1000,135.916686
-488.160095,1000,138.226935
-453.453346,1000,143.493137
-303.457708,1000,145.639631
-408.906014,1000,150.750402
-362.403009,1000,152.926187
-443.913007,1000,158.172514
-461.280631,1000,160.369749
-272.995441,1000,162.501898
-436.57127,1000,167.735276
-371.973464,1000,170.020043
-394.836024,1000,175.7076
-362.414679,1000,177.990879
-424.794315,1000,183.461398
-303.066451,1000,185.742449
-407.83599,1000,191.376954
-410.573522,1000,193.487882
-369.123599,1000,199.112675
-316.240388,1000,201.247133
-317.419938,1000,206.493039
-259.816991,1000,208.841711
-339.593571,1000,214.56245
-330.785776,1000,216.81384
-260.366421,1000,222.255418
-328.066524,1000,224.454235
-258.354271,1000,229.953663
-325.242518,1000,232.131597
-345.558032,1000,237.584498
-268.527305,1000,239.844638
-217.671908,1000,245.369018
-261.392212,1000,247.74449
-236.130211,1000,253.188568
-278.50466,1000,255.317323
-206.184575,1000,260.710051
-316.326441,1000,262.927355
-210.131479,1000,268.517483
-201.674179,1000,270.705966
-258.467671,1000,276.340843
-200.940872,1000,278.774755
-193.054111,1000,284.368323
-130.448182,1000,286.593343
-139.395794,1000,295.108063
-136.327596,1000,297.1861
-272.953506,1000,306.236111
-166.471055,1000,308.31802
-142.257121,1000,313.946329
-169.56373,1000,316.093108
-94.182155,1000,321.49541
-194.217369,1000,323.763046
-219.620038,1000,329.412613
-142.928511,1000,331.788171
-153.278989,1000,334.081978
-28.23391,1000,339.516531
42.71942,1000,341.896191
-52.928347,1000,347.542937
