#{"t_start": 1534975372.0165813, "env_id": "Hopper-v2"}
r,l,t
10.275224,13,0.748182
19.475742,18,0.790731
7.439666,10,0.813593
7.65576,18,0.855047
8.99257,13,0.884422
10.232529,18,0.924462
5.268424,10,0.947715
51.452365,55,1.069604
38.529532,39,1.157173
13.191467,22,1.214082
7.215627,12,1.24631
13.907523,25,1.30814
13.211237,40,1.396674
22.312191,24,1.456777
29.393476,23,1.509158
16.027289,17,1.548409
15.114815,28,1.612285
9.072603,12,1.640173
8.631729,11,1.664597
13.830876,15,1.698298
5.964833,12,1.726493
8.048677,19,1.769651
21.061197,23,1.825143
15.406567,22,1.890679
9.972082,13,1.930423
9.34321,19,1.987302
5.240346,8,2.004223
53.992445,54,2.153727
6.82566,13,2.187642
18.890605,18,2.234643
83.569379,77,2.438042
13.634071,15,2.479552
22.143259,20,2.535959
5.053461,8,2.553206
15.235402,23,2.603337
7.042361,10,2.626359
4.870634,9,2.647281
14.777275,15,2.6803
37.209101,33,2.751791
22.452465,23,2.804183
10.621556,18,2.846612
7.678689,10,2.868667
10.063396,19,2.915632
19.938884,20,2.965415
15.52049,17,3.004682
13.506633,16,3.041669
33.645741,34,3.126736
11.467339,14,3.160616
4.938056,13,3.190745
12.291744,35,3.275583
11.291463,20,3.324456
10.810987,14,3.35755
11.503864,15,3.392341
7.453339,27,3.457999
6.329806,11,3.484086
23.580476,21,3.535786
7.589717,11,3.568791
12.787178,16,3.606633
5.864625,11,3.63047
21.313652,25,3.691654
39.7182,46,3.795436
19.940337,25,3.85217
15.153578,30,3.920544
8.386474,15,3.956248
5.651294,9,3.976896
46.219722,33,4.05521
13.852543,17,4.094905
9.694624,12,4.123102
8.239721,14,4.153778
9.372017,15,4.186853
8.349937,12,4.213324
8.668955,14,4.244546
8.028596,16,4.282102
5.162858,8,4.300607
35.84293,35,4.379824
9.425308,19,4.421955
14.604294,15,4.455596
6.617834,9,4.475216
8.074429,15,4.508504
22.817519,37,4.592471
10.937664,26,4.649788
11.478923,14,4.681316
9.426735,15,4.715585
5.395675,9,4.736142
7.474619,10,4.75945
12.372005,15,4.793142
17.369179,24,4.846471
14.254482,17,4.884747
8.575037,15,4.918772
6.396815,9,4.938831
13.653446,19,4.982524
13.885699,16,5.017638
27.864361,27,5.076509
5.314013,9,5.096551
11.885663,17,5.133398
17.062214,25,5.190761
29.989886,21,5.238711
9.78043,20,5.287047
10.344191,14,5.31933
19.321522,23,5.369687
10.947542,11,5.394098
7.649844,9,5.414244
6.436662,14,5.443613
14.022853,16,5.486826
9.962075,14,5.52781
9.641039,25,8.942757
18.735184,19,8.986391
6.256658,9,9.006953
7.16045,21,9.05675
9.733159,12,9.083748
9.618034,18,9.12545
6.010834,9,9.145947
7.656407,12,9.174184
18.843201,45,9.273367
9.034652,17,9.31138
2.783467,7,9.328156
8.910251,24,9.382337
7.115917,10,9.40482
37.46997,32,9.477306
19.737355,23,9.528237
10.210824,13,9.556962
28.561806,30,9.62443
28.170551,23,9.676559
16.296205,15,9.710487
30.3863,28,9.773561
8.362657,10,9.796499
12.714655,20,9.839101
7.719704,11,9.86307
8.606613,11,9.888624
19.792605,27,9.948332
14.14565,17,9.98688
9.874237,14,10.018294
5.524465,8,10.036561
18.241567,20,10.081613
10.588582,18,10.122229
13.879858,18,10.163118
9.881724,13,10.192309
9.056136,15,10.225984
8.393996,13,10.255282
21.572367,23,10.308411
8.151721,16,10.344852
6.960176,10,10.368424
13.430362,16,10.405822
14.172648,33,10.479391
6.846049,9,10.500818
11.649933,14,10.533407
28.762206,25,10.591749
9.42474,13,10.621763
12.338898,14,10.653542
7.853412,21,10.703918
9.485426,12,10.732048
7.252405,12,10.760728
7.251076,17,10.800313
6.413601,10,10.825205
7.003045,9,10.84595
12.133912,14,10.877468
21.647667,22,10.927136
11.501253,14,10.959338
11.398755,16,10.996577
12.330935,16,11.034041
7.113042,9,11.054997
19.288067,21,11.10418
5.154302,10,11.128274
7.381612,11,11.153151
10.171503,27,11.213377
16.370451,19,11.254381
6.738678,10,11.277617
9.053961,16,11.313637
15.475235,17,11.351002
7.724571,14,11.381686
9.761305,11,11.406136
9.7159,12,11.432852
15.582762,19,11.474757
7.244616,31,11.543074
21.572791,19,11.583941
12.519368,14,11.614524
8.245053,11,11.638133
17.355273,21,11.684811
7.919945,11,11.708734
13.10016,17,11.745831
9.952667,13,11.773442
11.865399,20,11.817217
7.36074,10,11.839202
17.75496,20,11.881752
17.193883,22,11.929747
10.647852,24,11.981215
14.703581,27,12.039057
12.349773,13,12.067047
10.343119,13,12.0955
11.338947,15,12.127547
9.174633,16,12.162229
28.529052,24,12.218288
25.925299,49,12.330745
7.009723,13,12.36068
12.393813,17,12.398617
9.12692,15,12.431655
20.390911,18,12.472213
27.679162,46,12.574137
44.886239,30,12.642853
16.150979,31,12.711717
33.124895,25,12.768332
7.621697,24,12.822799
8.239497,19,12.865088
6.065737,13,12.894216
12.814889,14,12.935682
13.017186,15,12.981041
61.930458,38,13.068015
7.289492,11,13.092684
18.736048,35,13.166466
28.241906,24,13.227031
11.054296,13,13.259449
15.116518,18,13.305738
11.757089,13,13.339051
14.561078,24,13.402965
10.879247,15,13.448362
5.810352,8,13.472656
7.129675,11,13.504397
8.35647,13,13.542201
27.383934,22,13.610571
11.840732,17,16.791373
5.687011,8,16.811282
10.454957,12,16.840102
45.231217,39,16.936069
11.932179,15,16.971402
9.202149,22,17.02462
22.827847,40,17.121752
14.508374,17,17.162055
5.280584,13,17.194188
30.779352,39,17.286605
47.324185,33,17.362008
8.936208,14,17.394066
13.184852,17,17.433924
24.583045,28,17.498788
13.178929,14,17.530803
36.739568,30,17.599979
13.135375,19,17.644273
26.242653,23,17.707854
5.314925,15,17.741638
5.493156,12,17.769628
33.10208,39,17.855756
11.595685,15,17.888284
27.843017,26,17.946461
9.34128,14,17.977292
24.812465,22,18.026879
15.346877,14,18.059841
15.176297,15,18.094496
9.563828,11,18.120306
17.866601,20,18.162955
13.141034,17,18.203155
5.45624,10,18.226126
38.106395,29,18.299202
9.507438,22,18.356763
48.590505,35,18.448571
4.670318,11,18.477886
6.818649,10,18.504086
9.156812,12,18.534926
20.236765,33,18.620716
24.910104,34,18.709651
19.122497,28,18.782202
12.698645,13,18.817101
6.329486,9,18.841317
14.965165,34,18.927894
9.250782,12,18.95926
9.601827,20,19.01065
9.404709,12,19.041111
8.439176,14,19.072964
11.131515,19,19.115471
6.687988,13,19.144459
10.562125,14,19.175634
15.921014,21,19.222957
14.035832,19,19.265467
13.798956,15,19.29898
28.683932,23,19.352437
49.003755,33,19.428383
10.275211,13,19.458484
12.946884,15,19.492218
14.814778,20,19.537501
20.805591,27,19.595085
15.376697,22,19.643976
12.58571,13,19.674731
23.285452,26,19.730821
5.542061,8,19.748065
7.923447,10,19.769789
7.739122,10,19.791401
9.303741,16,19.825001
27.669571,29,19.888571
9.153896,20,19.932382
8.644578,11,19.955817
40.127194,60,20.085647
27.213151,26,20.141996
6.506589,13,20.169607
5.736883,9,20.189571
5.876437,13,20.217221
14.356346,17,20.253827
16.877222,33,20.325507
8.778678,17,20.370092
9.622305,12,20.403111
7.614029,12,20.436612
11.839526,24,20.498879
7.188844,13,20.533236
10.609012,16,20.575866
14.037988,24,20.639268
24.895237,24,20.704064
25.214567,25,20.769241
18.641923,36,20.855356
23.621157,20,20.898241
64.442043,40,20.98395
26.074455,25,21.039576
13.875591,26,21.095218
32.632949,28,21.154607
21.202253,35,21.231576
12.02018,13,21.259542
20.704741,20,21.303819
9.526532,13,21.33071
21.292279,28,21.386608
23.741416,22,21.431277
9.703469,14,21.46297
52.190617,38,21.548353
19.888433,19,24.522987
24.993222,24,24.594815
36.062613,39,24.701923
9.85317,17,24.748233
14.405819,17,24.792452
18.369572,28,24.86585
20.947028,22,24.923878
5.600067,8,24.945668
26.021296,34,25.035361
62.688633,65,25.201705
105.557518,59,25.340467
52.35792,39,25.436301
9.342173,13,25.468981
17.663735,20,25.520201
14.135019,14,25.557369
15.957854,19,25.605727
12.860303,31,25.673712
23.109285,27,25.730274
28.152261,28,25.799425
19.888483,23,25.85709
16.721221,21,25.905524
22.637202,20,25.953557
10.631698,13,25.982152
20.921313,28,26.047201
18.700402,20,26.09446
82.398861,55,26.235396
191.676104,91,26.45543
25.261989,25,26.518486
40.372294,30,26.593398
9.034049,12,26.624319
10.483498,16,26.664344
11.424185,13,26.697083
14.393835,22,26.740749
9.67035,13,26.767676
35.555327,32,26.839822
19.681882,38,26.926348
37.022113,32,27.002133
17.618675,18,27.057277
104.469765,81,27.291757
98.535466,54,27.431086
21.363759,20,27.481643
23.483617,23,27.534745
37.919656,28,27.600345
15.250462,21,27.649905
20.208692,24,27.707008
6.284429,9,27.728596
22.977124,21,27.778108
15.732027,17,27.817455
21.536482,19,27.863015
70.899239,45,27.971005
21.701486,32,28.046472
32.991868,27,28.110175
65.422504,41,28.206519
13.978645,17,28.246222
14.248257,18,28.287302
31.302217,28,28.349086
27.773352,25,28.402318
53.070041,44,28.49568
21.834723,29,28.558284
41.033648,45,28.6561
79.693399,48,28.757339
9.37099,12,28.782707
59.231269,48,28.885721
8.256857,10,28.907881
33.137795,25,28.969637
15.720512,24,29.030277
7.450715,10,29.055365
27.319598,28,29.123039
18.71293,20,29.181118
10.486785,16,29.22696
12.951575,13,29.26613
49.065216,34,29.344585
24.943305,19,29.38692
7.558691,10,29.409865
10.617135,14,29.440844
62.259947,37,32.616102
15.061644,26,32.677469
151.40137,73,32.837974
7.93473,13,32.867099
37.308722,31,32.935489
16.323613,16,32.971632
30.835785,26,33.029893
27.271914,27,33.092834
40.31342,35,33.172684
22.496647,23,33.224217
13.76627,24,33.279845
16.291791,18,33.320371
64.348077,40,33.409038
8.998852,11,33.435793
60.03286,39,33.523801
54.302736,33,33.596582
23.648759,20,33.642192
12.597428,24,33.69454
23.568685,24,33.747191
76.142763,54,33.863159
55.598546,34,33.938854
12.082656,25,33.994859
80.839163,63,34.134503
9.30674,18,34.176033
49.843945,37,34.259704
9.403871,13,34.29073
57.066382,35,34.369877
80.013209,51,34.481458
30.806302,31,34.549499
8.946088,29,34.614653
85.207808,47,34.716318
33.387397,24,34.769318
27.329306,30,34.839138
27.899174,25,34.902129
8.558156,11,34.929853
18.738777,20,34.975437
9.631339,15,35.005394
53.598665,33,35.06797
65.217196,38,35.146759
86.546467,49,35.275746
89.364201,49,35.393801
54.6585,33,35.464922
58.907253,36,35.542051
209.462603,91,35.723143
59.836001,37,35.794108
13.614023,16,35.825618
147.467151,74,35.966089
69.715018,57,36.107024
49.877934,30,36.1825
14.729912,16,36.220777
16.430059,19,36.264371
8.2599,10,36.287184
15.988971,20,36.334278
60.27198,37,36.410802
17.928586,21,36.453141
26.484043,30,36.512575
4.100002,10,36.532767
63.98079,37,36.604782
12.097056,15,36.634432
13.064583,16,36.666523
19.755715,21,36.70845
15.630411,24,36.756365
57.533452,35,36.82496
15.860043,18,36.867764
81.35758,47,36.988858
12.69225,15,37.031764
9.015249,16,37.075517
79.3859,47,40.543521
31.743733,26,40.609687
55.002146,33,40.682707
35.130581,29,40.754939
29.52025,27,40.822752
115.618501,66,40.974093
54.695548,38,41.069195
27.233339,29,41.146226
51.215779,41,41.26416
33.121305,26,41.320203
60.619954,37,41.397161
52.399214,32,41.460378
65.328418,39,41.535957
89.301503,50,41.640739
91.333617,52,41.758396
98.731611,57,41.884172
58.906023,36,41.963226
48.313323,36,42.057125
66.876241,40,42.164513
170.826274,81,42.365823
74.975064,44,42.46637
46.268262,36,42.545702
137.246783,70,42.716066
25.291189,22,42.770833
77.721968,46,42.883932
86.812662,49,43.007553
94.791669,52,43.135671
10.534156,14,43.169855
68.237777,43,43.280635
30.604125,24,43.340996
190.75095,86,43.527864
55.94565,34,43.609369
116.031587,62,43.760019
136.322655,69,43.914486
12.910047,15,43.947794
53.949726,33,44.019538
167.263055,80,44.180707
37.352695,38,44.264379
60.389125,39,44.349216
23.481313,22,44.397227
20.913765,20,44.440965
46.757738,33,44.513811
6.05752,12,44.541115
113.29506,62,44.672868
63.752498,38,44.753836
75.518157,44,44.848378
190.482004,86,45.031676
76.229861,50,45.138352
49.910726,30,48.425562
113.633055,62,48.569044
89.516298,52,48.690657
126.77501,69,48.849021
211.617899,93,49.061965
70.279426,41,49.158776
116.563142,61,49.301643
55.197959,34,49.381788
107.173182,58,49.515789
50.129362,31,49.587275
50.993671,30,49.656442
75.54466,51,49.771462
199.785605,90,49.974407
55.059964,33,50.049448
61.701282,37,50.130828
58.813334,36,50.206818
203.318126,90,50.395061
55.892067,34,50.466143
90.626466,75,50.626473
95.202332,52,50.736295
69.496996,43,50.826227
213.278953,93,51.020198
16.772804,22,51.067916
117.891825,61,51.19604
198.234514,89,51.382482
54.610943,34,51.455714
70.435223,42,51.546913
62.157009,38,51.626709
21.064322,20,51.670096
58.230079,35,51.744254
51.284864,31,51.810105
62.445674,37,51.888124
55.69011,34,51.960377
9.534804,13,51.988077
200.518837,88,52.173303
94.450479,55,52.28897
118.244409,62,52.420281
51.880713,32,52.487946
54.315083,33,52.557967
69.139573,44,52.65131
55.521961,34,52.72368
49.458945,30,52.787624
65.600651,42,55.779883
195.291997,86,55.981779
208.387894,91,56.199255
76.337924,45,56.304459
212.25431,93,56.522312
21.175698,38,56.607309
76.642422,45,56.706962
208.46279,92,56.905378
178.131726,86,57.099713
133.083056,69,57.236859
189.032931,87,57.403685
60.360212,37,57.485855
51.661759,31,57.552
28.951862,25,57.606516
51.411443,31,57.672386
186.800464,84,57.847392
174.31843,82,58.019081
62.071292,41,58.11498
65.232709,43,58.223025
184.147728,87,58.44683
86.573529,49,58.557332
123.063364,63,58.710269
72.641591,47,58.817207
195.705174,95,59.016725
108.46929,61,59.144495
58.900126,36,59.221442
9.294139,14,59.251554
178.505963,81,59.417382
181.292519,83,59.591224
204.422129,91,59.807214
98.745423,55,59.954991
116.643113,65,60.130905
127.126835,75,60.350855
206.283586,90,63.595697
58.110963,43,63.698084
104.765736,59,63.832358
206.205782,90,64.033304
110.4211,59,64.16629
53.711522,32,64.271685
60.946469,37,64.356983
51.267684,31,64.429015
49.624889,30,64.497896
65.144147,39,64.586181
193.920365,87,64.785852
70.609803,42,64.882504
215.605294,94,65.086586
203.375723,90,65.278662
76.156118,44,65.372718
179.593847,83,65.574299
64.118341,39,65.67374
57.7624,35,65.760469
136.566779,68,65.911163
204.684843,90,66.113956
209.223099,91,66.334757
178.538058,86,66.524852
216.831716,101,66.765385
75.77506,44,66.866402
58.217596,36,66.947558
60.710548,39,67.033986
47.515055,34,67.108948
80.605283,46,67.209152
193.481525,86,67.395417
57.948764,35,67.472701
52.38184,32,67.542505
190.380092,84,67.722832
53.949336,33,67.792492
58.018835,35,67.871836
110.178342,58,68.001278
62.285571,40,68.092691
206.190304,90,71.669861
209.269611,90,71.874148
217.540596,93,72.086892
200.339881,89,72.295125
200.506412,89,72.503509
109.993051,61,72.645704
163.815772,86,72.847659
212.524212,94,73.061261
21.198375,21,73.11092
201.478099,87,73.306003
198.294623,88,73.500638
189.816181,85,73.682481
206.344873,91,73.889692
187.298658,85,74.067555
216.555647,94,74.263546
212.106036,92,74.457129
199.12202,91,74.647404
7.999787,12,74.673442
224.978324,111,74.908173
200.247008,89,75.094959
24.332131,21,75.141926
200.895962,90,75.333264
146.655406,70,75.481145
200.628479,88,75.666806
173.08072,79,75.836568
159.68363,75,76.002941
74.990398,48,78.854746
49.824462,30,78.917914
189.422627,88,79.114004
98.818446,55,79.245101
57.715018,35,79.327191
174.989343,82,79.525161
211.385152,93,79.725667
103.286563,58,79.858608
87.811869,54,79.98671
67.510028,40,80.079772
199.143047,91,80.2974
81.458654,47,80.404465
201.167795,90,80.613285
76.00986,44,80.714321
88.027208,50,80.833677
173.190731,82,81.031487
210.929609,92,81.234617
65.669862,43,81.327916
67.712773,41,81.416886
209.04115,92,81.610239
227.52264,107,81.843833
50.043792,35,81.918606
33.01016,25,81.971111
141.270181,73,82.130004
171.987108,82,82.31373
73.38379,46,82.41303
198.004051,88,82.599328
94.150933,55,82.722383
196.392023,87,82.905181
56.635595,35,82.977934
64.21821,39,83.061135
54.304933,33,83.130438
64.28707,38,83.211428
211.447033,93,86.40746
181.105388,84,86.651398
185.278044,83,86.890221
208.423291,91,87.131852
192.975987,86,87.351821
198.252143,87,87.567989
200.778167,89,87.764939
214.647748,94,87.970282
205.799724,90,88.161644
205.254106,90,88.370408
214.279492,94,88.59496
209.630051,92,88.80527
211.41326,92,89.015942
186.812831,85,89.220101
205.373776,90,89.433082
209.890286,91,89.634031
207.097388,92,89.838201
179.917299,80,90.042048
193.23736,86,90.245365
210.595011,92,90.463897
192.40356,87,90.666488
198.43925,89,90.881298
189.223404,84,91.083921
146.43886,72,94.381825
163.781518,79,94.571422
65.506995,39,94.663481
195.424287,85,94.862465
154.263323,74,95.077481
205.306736,89,95.328448
196.445748,88,95.55761
64.91921,40,95.671357
208.631224,91,95.918879
103.895964,58,96.095992
213.04839,93,96.372287
212.766498,96,96.630591
55.890743,39,96.726647
201.307142,88,96.940962
206.732386,91,97.143401
88.758277,54,97.260195
195.669352,87,97.440552
114.492959,60,97.581509
211.775283,93,97.816136
89.438223,52,97.947717
195.006354,87,98.152944
207.006186,91,98.360864
184.295676,85,98.594621
181.474907,82,98.776504
192.812735,87,98.992283
221.327884,95,99.213084
128.889534,66,99.419126
216.220477,93,102.975711
206.366375,92,103.20587
211.055762,91,103.437494
208.449119,91,103.661746
214.020648,93,103.889306
213.531665,93,104.109657
207.170093,91,104.317509
205.328901,92,104.525951
210.105087,91,104.730713
208.899701,91,104.927522
209.941211,91,105.121046
207.523387,91,105.340998
211.812094,92,105.539106
210.205508,92,105.765997
229.130656,106,105.996825
209.972734,92,106.183104
210.44857,91,106.407506
199.310035,88,106.582963
209.832872,91,106.775863
195.979893,86,107.003201
209.952775,92,107.227247
208.522974,91,107.451495
210.619384,91,110.808799
208.01461,91,111.030939
208.221818,90,111.247066
217.117763,95,111.467249
211.435297,92,111.673109
213.004898,93,111.87127
201.714684,89,112.091218
207.590221,91,112.284264
209.971421,93,112.4866
205.856847,90,112.686262
208.085826,91,112.891212
208.618289,91,113.081149
215.367201,93,113.278797
206.01537,91,113.469104
211.419425,92,113.66128
206.051601,91,113.852255
223.320856,107,114.075302
209.7093,96,114.274621
212.987172,93,114.467119
206.069698,91,114.65452
212.184833,92,114.864505
203.67065,89,115.07097
213.445609,94,118.252324
210.232793,91,118.467222
212.405364,93,118.687124
213.753321,93,118.9067
212.691432,92,119.13557
197.151811,88,119.368653
212.993898,93,119.581863
210.475757,91,119.791502
199.063378,88,120.00718
211.051444,92,120.261207
210.105257,92,120.457945
207.44614,91,120.651848
212.460837,92,120.854527
211.046805,92,121.033906
206.314567,91,121.239247
205.457396,89,121.445881
211.662147,92,121.671936
208.266963,91,121.879746
208.49391,90,122.072801
211.8029,92,122.276407
213.485244,93,122.491323
208.777559,93,122.720464
200.328396,88,122.945444
208.125076,91,126.335197
213.234896,93,126.611943
214.562517,93,126.853046
215.376589,94,127.094145
214.862013,93,127.310199
213.951698,93,127.5297
208.669637,92,127.746389
211.170226,92,127.960027
198.37909,88,128.178898
206.828173,92,128.402029
207.76705,90,128.606514
208.436642,92,128.809844
211.635933,92,129.013751
211.178781,92,129.219573
208.650019,90,129.447646
213.182967,93,129.682257
209.062401,92,129.90633
208.157689,91,130.107297
216.001309,94,130.312389
205.930432,91,130.540434
213.976128,93,130.765139
205.701181,90,130.979937
213.123897,94,134.615432
214.779523,93,134.825958
216.125713,94,135.026896
213.106063,93,135.2397
211.374503,92,135.441331
212.481953,93,135.685648
214.336464,93,135.93114
211.206281,92,136.16557
213.22416,93,136.396169
214.078561,93,136.612939
213.705897,94,136.822813
213.568128,93,137.064895
214.210418,93,137.285475
211.131633,92,137.506568
212.907516,93,137.719839
204.874391,90,137.923457
214.049746,93,138.149079
211.934232,93,138.372786
202.756637,90,138.566224
211.571855,92,138.763918
214.230609,93,138.964793
209.160955,91,139.164056
214.735156,93,142.632855
213.671836,93,142.841047
208.092211,91,143.065411
214.012463,93,143.301011
215.399007,94,143.52578
209.98932,92,143.724075
211.453236,93,143.968619
215.476978,94,144.192349
212.084431,92,144.39405
211.904325,92,144.595665
216.150445,94,144.79963
215.261768,94,145.004859
208.380992,91,145.203912
211.248426,92,145.404857
216.204516,94,145.605891
212.230045,92,145.797026
210.459364,92,145.980856
214.420108,92,146.203337
208.748238,91,146.426076
211.464204,93,146.664855
