#{"t_start": 1535010554.8196273, "env_id": "InvertedDoublePendulum-v2"}
r,l,t
45.250154,5,0.729202
54.530019,6,0.741652
35.823493,4,0.750187
73.531547,8,0.76715
44.863064,5,0.77836
36.242219,4,0.787041
64.11801,7,0.802176
36.273584,4,0.811371
35.679459,4,0.820346
63.747196,7,0.835618
35.756023,4,0.844529
35.797058,4,0.854435
45.374311,5,0.865236
45.267818,5,0.876553
45.030097,5,0.887736
35.839639,4,0.896628
35.283983,4,0.905137
54.105197,6,0.918886
36.196836,4,0.927979
80.945842,9,0.947587
73.157744,8,0.964448
35.686588,4,0.973242
26.803979,3,0.980424
45.405905,5,0.992381
63.861931,7,1.008764
35.845679,4,1.018163
36.016744,4,1.027817
45.251575,5,1.039299
54.355531,6,1.054042
54.425658,6,1.068781
36.104519,4,1.077503
36.146644,4,1.086976
45.050335,5,1.097867
54.272502,6,1.110958
26.74956,3,1.118104
63.848545,7,1.133276
35.898737,4,1.142004
36.157026,4,1.150594
63.602413,7,1.165946
54.52742,6,1.179991
44.62103,5,1.191704
26.717732,3,1.198623
26.709813,3,1.205789
44.654831,5,1.217746
82.299938,9,1.237677
35.611217,4,1.246615
64.197646,7,1.262375
63.186968,7,1.277132
54.454555,6,1.289881
45.350947,5,1.301344
53.924414,6,1.315628
63.400048,7,1.331256
44.983831,5,1.342769
35.794615,4,1.352019
44.876387,5,1.362801
44.95055,5,1.37383
45.298967,5,1.384619
63.592419,7,1.400212
45.216705,5,1.411921
45.349348,5,1.42315
45.328905,5,1.43454
82.246154,9,1.454499
45.045391,5,1.465742
45.084694,5,1.476471
35.854889,4,1.485644
35.864693,4,1.494846
44.986166,5,1.506351
101.48605,11,1.530546
26.835238,3,1.537763
54.265963,6,1.551748
64.041375,7,1.567171
45.488872,5,1.57877
63.978873,7,1.594994
54.524344,6,1.608227
109.719146,12,1.63436
35.879039,4,1.643033
54.943311,6,1.655758
53.904739,6,1.668989
45.300685,5,1.680513
45.197516,5,1.691386
36.089555,4,1.7006
35.391331,4,1.709804
45.40478,5,1.721562
44.874957,5,1.732816
44.89076,5,1.743624
45.378878,5,1.754274
63.533092,7,1.76955
36.130949,4,1.779055
119.376414,13,1.806969
36.119479,4,1.815903
35.945326,4,1.825174
35.708179,4,1.833946
45.04522,5,1.844767
54.602458,6,1.857777
36.010859,4,1.866771
63.794567,7,1.882854
35.713163,4,1.89253
45.001902,5,1.903325
36.125923,4,1.911965
45.297397,5,1.923599
54.736106,6,1.937314
36.013649,4,1.946686
54.35425,6,1.959439
54.710837,6,1.972283
45.203927,5,1.98354
63.975503,7,1.998971
45.069191,5,2.010469
45.344032,5,2.02213
35.640481,4,2.031026
26.783087,3,2.03831
54.551239,6,2.051374
45.095338,5,2.062362
26.925666,3,2.069253
82.073283,9,2.090031
36.094404,4,2.099895
36.346479,4,2.109199
63.429897,7,2.125243
64.113207,7,2.141328
53.954415,6,2.154661
26.853099,3,2.161688
54.460482,6,2.174654
45.196582,5,2.185754
35.664875,4,2.195169
36.125286,4,2.204899
62.88601,7,2.221541
54.589474,6,2.236398
45.009182,5,2.248349
92.115643,10,2.272061
63.899594,7,2.28807
72.522566,8,2.306843
44.863263,5,2.318555
26.819389,3,2.325813
54.809063,6,2.339567
35.642458,4,2.349589
35.922193,4,2.359213
45.15958,5,2.371128
63.346122,7,2.388256
35.583026,4,2.397641
35.838327,4,2.407552
63.455583,7,2.423426
63.209274,7,2.439841
53.871449,6,2.453806
54.587358,6,2.468836
35.473747,4,2.479126
36.174268,4,2.489121
54.625948,6,2.503945
35.949762,4,2.513903
36.161492,4,2.523502
72.608518,8,2.543155
82.394658,9,2.564863
35.996831,4,2.573866
63.59682,7,2.5898
44.51626,5,2.601484
54.68323,6,2.615107
81.986349,9,2.636057
54.360559,6,2.651152
36.264956,4,2.661227
45.097156,5,2.673351
45.180279,5,2.685521
35.392146,4,2.695052
100.199749,11,2.720321
54.754015,6,2.734751
26.826721,3,2.742429
36.186429,4,2.751908
36.224789,4,2.762019
35.841237,4,2.771886
35.716515,4,2.782019
63.962805,7,2.799503
35.358296,4,2.809882
82.153573,9,2.831036
35.581685,4,2.840457
63.699647,7,2.857484
35.733555,4,2.866918
45.529254,5,2.879375
45.16899,5,2.891869
63.329329,7,2.90916
36.018155,4,2.918603
44.978746,5,2.930479
45.162326,5,2.942684
72.689972,8,2.962065
36.059467,4,2.972019
45.082347,5,2.984236
35.635262,4,2.993942
45.169066,5,3.005625
35.813041,4,3.014515
54.067012,6,3.029017
54.351545,6,3.043132
53.900645,6,3.057301
26.832667,3,3.064498
45.279399,5,3.076769
26.883858,3,3.083937
82.124981,9,3.104904
64.031278,7,3.121148
45.381677,5,3.132004
54.132974,6,3.144809
91.660441,10,3.166547
64.042923,7,3.181457
63.492301,7,3.197009
44.840597,5,3.207984
35.829707,4,3.217433
54.172246,6,3.230553
53.918955,6,3.243475
45.149061,5,3.254718
35.661268,4,3.263662
35.519192,4,3.272787
36.083654,4,3.281991
35.669855,4,3.291096
45.28336,5,3.302047
118.389419,13,3.330863
45.000166,5,3.341602
45.179172,5,3.353374
35.673226,4,3.36206
45.059906,5,3.37274
54.56376,6,3.386235
35.533934,4,3.395149
63.817461,7,3.411126
35.88384,4,3.420546
63.578194,7,3.43654
64.00885,7,3.452846
26.838089,3,3.45991
82.150589,9,3.481278
82.159184,9,3.502833
35.897987,4,3.512915
44.830643,5,3.525029
82.198674,9,3.546105
44.850001,5,3.557425
26.881352,3,3.564821
63.536606,7,3.58146
63.949123,7,3.598408
45.590907,5,3.610704
54.378564,6,3.625665
35.937901,4,3.635172
44.962971,5,3.647599
26.870732,3,3.654692
45.544362,5,3.665917
35.395916,4,3.675329
54.62263,6,3.68935
35.277155,4,3.699111
45.198691,5,3.710386
45.336826,5,3.722075
26.766438,3,3.729741
45.454258,5,3.741722
63.753984,7,3.757676
