#{"t_start": 1535018474.9606843, "env_id": "InvertedPendulum-v2"}
r,l,t
9.0,9,0.734029
7.0,7,0.750344
8.0,8,0.77003
9.0,9,0.791025
8.0,8,0.808127
5.0,5,0.81916
4.0,4,0.827965
7.0,7,0.843699
12.0,12,0.868376
10.0,10,0.890296
6.0,6,0.904001
5.0,5,0.914943
3.0,3,0.921322
5.0,5,0.932566
12.0,12,0.960174
4.0,4,0.972176
5.0,5,0.986629
4.0,4,0.998153
7.0,7,1.014655
5.0,5,1.026558
8.0,8,1.04421
15.0,15,1.077962
4.0,4,1.087213
19.0,19,1.130979
8.0,8,1.148758
4.0,4,1.157729
4.0,4,1.166726
7.0,7,1.182567
3.0,3,1.189191
9.0,9,1.209252
5.0,5,1.2208
6.0,6,1.234559
5.0,5,1.245687
5.0,5,1.257008
4.0,4,1.26552
7.0,7,1.281264
5.0,5,1.293259
5.0,5,1.304667
10.0,10,1.326741
15.0,15,1.360019
7.0,7,1.376143
4.0,4,1.384869
10.0,10,1.406441
10.0,10,1.42821
5.0,5,1.439916
5.0,5,1.45138
5.0,5,1.462469
21.0,21,1.508336
6.0,6,1.521523
7.0,7,1.536297
3.0,3,1.543168
3.0,3,1.549747
4.0,4,1.558426
6.0,6,1.572053
19.0,19,1.612994
8.0,8,1.629885
5.0,5,1.64039
5.0,5,1.651139
11.0,11,1.675526
10.0,10,1.697421
7.0,7,1.712925
10.0,10,1.73438
8.0,8,1.751476
5.0,5,1.762287
5.0,5,1.773029
4.0,4,1.782596
7.0,7,1.800913
6.0,6,1.817028
8.0,8,1.838678
3.0,3,1.845505
8.0,8,1.862791
14.0,14,1.893581
10.0,10,1.914582
13.0,13,1.941553
9.0,9,1.961935
5.0,5,1.973908
6.0,6,1.987813
9.0,9,2.007384
5.0,5,2.018348
21.0,21,2.063272
5.0,5,2.073556
5.0,5,2.083958
5.0,5,2.094789
10.0,10,2.118242
11.0,11,2.146175
5.0,5,2.159184
5.0,5,2.171654
10.0,10,2.197624
5.0,5,2.209906
12.0,12,2.240268
9.0,9,2.263813
4.0,4,2.274662
7.0,7,2.292866
14.0,14,2.327614
4.0,4,2.337813
7.0,7,2.355363
4.0,4,2.365106
5.0,5,2.377875
4.0,4,2.388215
11.0,11,2.415087
3.0,3,2.422443
13.0,13,2.45316
11.0,11,2.480349
6.0,6,2.49517
9.0,9,2.517765
10.0,10,2.541726
8.0,8,2.560905
5.0,5,2.574021
5.0,5,2.586898
10.0,10,2.611136
14.0,14,2.64659
6.0,6,2.6612
4.0,4,2.67073
15.0,15,2.706127
5.0,5,2.718934
10.0,10,2.742615
5.0,5,2.754312
16.0,16,2.793253
4.0,4,2.803686
5.0,5,2.819463
15.0,15,2.860927
9.0,9,2.886389
5.0,5,2.901972
14.0,14,2.945431
10.0,10,2.968064
7.0,7,2.983078
22.0,22,3.029181
8.0,8,3.046498
6.0,6,3.060991
8.0,8,3.085036
4.0,4,3.09578
4.0,4,3.106578
6.0,6,3.122835
12.0,12,3.155152
7.0,7,3.174501
5.0,5,3.187339
6.0,6,3.203659
4.0,4,3.214373
17.0,17,3.24736
5.0,5,3.25685
6.0,6,3.26873
4.0,4,3.276605
12.0,12,3.299367
8.0,8,3.31427
9.0,9,3.332018
10.0,10,3.350151
12.0,12,3.37394
7.0,7,3.387453
6.0,6,3.398792
6.0,6,3.41035
5.0,5,3.420165
4.0,4,3.428288
9.0,9,3.445672
9.0,9,3.463012
6.0,6,3.474646
12.0,12,3.497157
10.0,10,3.517607
9.0,9,3.536604
7.0,7,3.553002
16.0,16,3.588454
14.0,14,3.619846
6.0,6,3.634174
5.0,5,3.645344
12.0,12,3.673293
5.0,5,3.685354
5.0,5,3.698024
10.0,10,3.723587
8.0,8,3.742816
4.0,4,3.753276
8.0,8,3.772835
4.0,4,3.782874
4.0,4,3.792877
8.0,8,3.811924
13.0,13,3.842491
7.0,7,3.860087
5.0,5,3.872489
8.0,8,3.89115
5.0,5,3.902552
5.0,5,3.914687
5.0,5,3.926693
9.0,9,3.947859
11.0,11,3.976065
4.0,4,3.987363
3.0,3,3.996576
13.0,13,4.034027
5.0,5,4.048926
5.0,5,4.063037
9.0,9,4.089168
11.0,11,4.120679
4.0,4,4.132705
5.0,5,4.148375
8.0,8,4.17293
7.0,7,4.188105
5.0,5,4.198344
7.0,7,4.213432
7.0,7,4.228305
5.0,5,4.238656
4.0,4,4.247067
8.0,8,4.264267
5.0,5,4.275154
5.0,5,4.285633
7.0,7,4.299731
4.0,4,4.308431
7.0,7,4.325748
8.0,8,4.34782
3.0,3,4.356683
7.0,7,4.377064
4.0,4,4.3896
10.0,10,4.417249
5.0,5,4.431573
9.0,9,4.455242
10.0,10,4.483102
8.0,8,4.506149
10.0,10,4.533586
15.0,15,4.57162
21.0,21,4.621732
9.0,9,4.644285
18.0,18,4.688003
6.0,6,4.702518
6.0,6,4.716977
3.0,3,4.724504
5.0,5,4.736676
7.0,7,4.754271
4.0,4,4.763287
6.0,6,4.776977
10.0,10,4.798729
10.0,10,4.820723
6.0,6,4.836911
6.0,6,4.853678
5.0,5,4.869195
13.0,13,4.905861
4.0,4,4.916878
6.0,6,4.931879
6.0,6,4.9474
4.0,4,4.957907
6.0,6,4.973513
4.0,4,4.983897
7.0,7,5.001819
4.0,4,5.011548
11.0,11,5.038646
6.0,6,5.053479
7.0,7,5.070359
22.0,22,5.12172
4.0,4,5.130627
6.0,6,5.14345
5.0,5,5.154505
11.0,11,5.177288
5.0,5,5.187862
4.0,4,5.19681
6.0,6,5.209554
