#{"t_start": 1534983444.9572148, "env_id": "Swimmer-v2"}
r,l,t
14.007872,1000,3.121683
-7.790926,1000,5.591728
-11.755465,1000,11.154307
2.081115,1000,13.645127
28.859988,1000,19.167612
10.190761,1000,21.505589
7.0372,1000,27.037018
5.323881,1000,29.321938
34.498462,1000,34.885439
1.421003,1000,37.196184
35.835055,1000,42.749468
16.132679,1000,44.969514
-12.072533,1000,50.42586
25.588341,1000,52.547652
30.530354,1000,57.369844
18.237445,1000,59.72523
23.54493,1000,65.171497
22.173457,1000,67.41841
8.892437,1000,72.486143
11.985251,1000,74.624836
32.448381,1000,79.777485
25.517221,1000,81.919015
29.348504,1000,86.899195
16.916374,1000,89.079389
17.655861,1000,94.673881
19.590029,1000,96.940064
31.91442,1000,102.112288
22.559011,1000,104.357597
18.703244,1000,109.715776
18.493297,1000,111.987297
25.088414,1000,117.746917
21.328279,1000,119.959231
19.160469,1000,125.270518
9.666953,1000,127.441157
25.991264,1000,132.263998
24.181605,1000,134.45393
23.492484,1000,139.725252
16.191923,1000,142.097173
21.3465,1000,147.486856
25.018897,1000,149.779282
18.792063,1000,155.217992
22.519513,1000,157.482331
21.802621,1000,159.670528
23.06788,1000,165.095153
15.878191,1000,167.163075
26.0665,1000,172.377387
19.697033,1000,174.683148
20.459417,1000,179.89561
29.374469,1000,182.024918
28.025194,1000,187.351507
29.627038,1000,189.486928
25.62224,1000,194.960748
15.076158,1000,197.215346
28.039662,1000,202.669821
23.984273,1000,204.779346
28.279168,1000,209.911862
29.870843,1000,212.27864
31.865528,1000,217.466624
21.845243,1000,219.979131
25.233298,1000,225.492618
24.715578,1000,227.849091
24.247063,1000,233.203593
25.379768,1000,235.536488
27.523887,1000,240.638582
25.111965,1000,242.853134
25.881906,1000,248.31933
26.135031,1000,250.685877
22.26499,1000,256.18505
31.667531,1000,258.524848
31.1326,1000,263.847866
28.445251,1000,266.122588
30.052891,1000,271.490043
31.839155,1000,273.930977
31.711444,1000,279.222819
29.047949,1000,281.417057
31.808163,1000,286.918861
34.835655,1000,289.253893
33.639576,1000,294.627668
29.727151,1000,296.772227
35.618165,1000,301.978594
36.758473,1000,304.292853
30.0838,1000,310.184091
36.662637,1000,312.461876
32.064034,1000,317.945946
37.791243,1000,320.200095
31.576135,1000,322.414562
33.96728,1000,328.063927
37.418175,1000,330.23457
33.696073,1000,335.757095
32.833646,1000,337.986944
36.339194,1000,343.622409
29.056877,1000,346.093364
36.261749,1000,351.612522
33.294541,1000,353.873354
36.807379,1000,359.126069
34.132641,1000,361.32699
31.621778,1000,366.50455
31.116326,1000,368.627815
32.280672,1000,373.758072
32.704631,1000,375.889305
34.066245,1000,381.014832
34.854156,1000,383.13323
35.189185,1000,388.316664
32.878356,1000,390.595814
33.915666,1000,396.259124
37.013732,1000,398.543606
32.193543,1000,403.944037
32.900307,1000,406.296343
35.841355,1000,411.861728
35.135572,1000,414.083026
36.009935,1000,419.068597
34.460862,1000,421.559391
35.778466,1000,427.180042
35.849232,1000,429.605824
37.551041,1000,435.176827
39.143258,1000,437.589733
38.61524,1000,443.219201
38.221513,1000,445.403929
36.12494,1000,450.57727
38.072657,1000,452.753571
37.373589,1000,458.236954
