#{"t_start": 1535026167.130938, "env_id": "Walker2d-v2"}
r,l,t
-7.940831,18,0.765337
-1.349877,23,0.82412
-1.83892,10,0.850079
-5.534007,20,0.899375
-9.006883,19,0.94696
-3.447479,16,0.987305
-0.161078,33,1.069794
1.055903,21,1.122361
2.321171,19,1.169461
-1.378193,17,1.213641
2.014876,22,1.267389
-2.063893,17,1.308573
-5.866301,16,1.344462
12.629443,23,1.39544
-3.720336,24,1.448817
-5.678368,22,1.497845
7.796737,34,1.57447
-4.044376,7,1.590597
2.877657,14,1.622086
-10.698647,14,1.652603
-3.27188,13,1.681577
-2.279216,13,1.711059
-5.2266,8,1.72934
1.488982,25,1.78589
-2.144281,24,1.839272
-4.497687,23,1.890116
-11.401572,16,1.925107
-8.317855,20,1.97162
-1.659486,28,2.036361
13.597028,29,2.100553
-3.844312,15,2.134423
-2.038319,22,2.183006
-5.559395,39,2.274985
3.100003,12,2.303897
-1.773471,18,2.35121
3.897477,28,2.42018
-7.547337,22,2.471508
-6.762184,24,2.527161
-0.875939,14,2.558641
-9.999606,16,2.594586
2.152805,16,2.634999
3.96784,14,2.67065
-4.945164,24,2.735818
-6.09041,8,2.757692
-0.868865,25,2.818848
-0.443453,19,2.863197
-6.101479,18,2.902681
4.772019,18,2.948707
4.777312,26,3.017396
-6.840587,21,3.069088
5.693935,23,3.122191
-5.008893,8,3.140802
-1.511354,12,3.169971
-0.390552,12,3.198515
-3.119836,11,3.223971
15.983351,41,3.318192
-1.332095,20,3.369493
4.936069,33,3.455348
-8.639605,17,3.49965
7.243679,21,3.555308
-1.123828,21,3.609447
-1.053299,13,3.643264
-8.615196,21,3.697605
-1.729734,10,3.724434
-4.987646,13,3.759413
-5.750663,22,3.821277
1.630872,27,3.900834
-5.372749,19,3.948769
-9.905033,16,3.986442
-8.377771,20,4.033093
-8.211941,18,4.073424
-0.057882,18,4.115154
8.173511,21,4.164346
-6.063456,14,4.196142
0.984179,14,4.227791
-12.738139,19,4.270097
-5.675372,28,4.332587
-9.894282,17,4.36994
-3.447088,18,4.409497
-7.181313,22,4.457764
-1.248066,13,4.486796
-11.120934,20,4.530439
-10.079403,20,4.574625
-10.981531,15,4.607792
-0.82062,22,4.657026
-5.844201,12,4.684279
-5.769135,7,4.700265
-5.620249,23,4.750256
-5.38119,26,4.807848
5.06877,37,4.889481
-3.792277,8,4.907483
-8.101061,15,4.93964
-1.337633,29,5.003105
-2.430151,10,5.025654
-2.883565,11,5.050712
-0.489682,24,5.102912
-7.078244,19,5.145314
-3.271242,17,5.183331
-7.465768,19,5.22577
-4.154298,16,5.262251
1.144482,19,5.304744
-10.084335,17,5.341873
-6.95749,14,5.373116
16.037265,31,5.442558
0.232674,15,5.475929
1.615962,18,5.516897
-2.123322,11,5.541513
-2.164787,9,8.701785
2.933286,24,8.761765
-0.055617,9,8.784845
4.47199,17,8.827331
-11.305288,52,8.964265
-0.291221,11,8.997808
5.378159,29,9.08175
7.574066,41,9.190519
9.596681,22,9.242514
0.181229,15,9.28225
1.903207,19,9.330778
2.095424,13,9.364017
1.746854,27,9.433887
-1.172655,23,9.49293
0.781095,21,9.545638
-4.532503,11,9.572733
4.928708,26,9.628764
-3.530422,12,9.654731
6.085716,31,9.719162
-3.544032,23,9.766665
2.153269,14,9.796862
4.482556,14,9.82944
-0.83056,13,9.85919
1.017501,11,9.88489
-5.649598,12,9.912282
0.48125,17,9.951331
-1.554414,13,9.980547
9.263781,49,10.082855
-1.081413,11,10.106287
-0.581625,10,10.127799
-1.065432,10,10.148701
-4.836406,24,10.214728
-1.056975,33,10.319313
-1.297001,19,10.364782
-0.650321,16,10.414551
-3.360117,32,10.501011
0.099527,21,10.558914
-5.363265,21,10.612155
-8.349083,20,10.661883
2.334557,17,10.705767
-6.081084,17,10.747531
-3.820293,17,10.788491
2.611331,23,10.841821
-8.697211,17,10.881098
5.838898,48,10.979303
-7.558305,13,11.005516
-8.546085,18,11.043175
2.255059,17,11.082078
-0.109483,14,11.11418
5.930221,33,11.192738
-2.63159,16,11.230477
-1.204034,9,11.251315
-5.201074,19,11.292643
-7.247228,17,11.330707
-3.977114,23,11.382937
2.025933,16,11.418859
-6.760858,10,11.441719
-0.270589,19,11.484047
1.725737,14,11.517155
-4.006559,7,11.533661
-2.327924,16,11.571553
-7.070669,23,11.626207
-3.75122,11,11.650929
-5.328633,9,11.671254
-7.812967,14,11.704697
3.559407,27,11.771214
-6.203026,20,11.819954
-4.746952,15,11.856537
-5.897747,10,11.880351
3.817186,19,11.927112
3.333936,16,11.965624
0.118131,11,11.993358
-7.830236,16,12.031501
-4.213077,22,12.084472
-5.092728,22,12.137709
-2.39698,25,12.197974
-0.368164,18,12.243738
6.335579,28,12.311955
6.090261,16,12.350003
-4.170068,9,12.371748
1.166937,17,12.412701
-5.84406,20,12.45875
-5.179581,10,12.482197
-5.386047,18,12.523939
-3.107052,14,12.556558
-3.16778,18,12.597149
5.156512,24,12.653526
-0.605636,25,12.710964
1.0786,16,12.74912
4.167017,32,12.822699
-0.075189,28,12.88711
-7.244061,26,12.948822
-10.032033,19,12.995087
5.077898,19,13.040107
8.598384,25,13.097592
-2.754423,29,13.164556
-2.515002,12,13.19214
0.179787,13,13.221843
9.423678,22,13.273916
1.583456,18,13.318554
-10.42032,17,13.359241
-4.260093,14,13.393525
-4.278439,19,13.439075
1.70795,36,13.525322
-3.941914,10,13.550555
-1.954194,12,13.581176
-7.008489,17,16.714764
-0.146764,16,16.755436
2.672299,23,16.8104
-5.810271,13,16.842006
-2.81786,14,16.875784
5.150608,14,16.914566
-4.57133,8,16.936648
-2.46209,10,16.961459
-0.630167,23,17.016904
0.42504,11,17.042966
2.339839,51,17.172572
5.616656,19,17.230146
16.372064,32,17.326611
17.721678,41,17.439414
-1.069815,24,17.499001
1.159455,15,17.535069
0.376861,18,17.576901
15.758616,60,17.728781
0.48249,18,17.777307
-5.444839,19,17.827207
-0.721311,11,17.856042
-6.577999,21,17.90974
3.679855,20,17.962065
1.299399,15,17.999911
-4.818366,8,18.022274
-1.022384,12,18.060025
-2.496437,9,18.081238
22.446244,45,18.183823
6.76444,17,18.224651
0.297357,11,18.251117
-10.625354,23,18.300232
-0.404673,11,18.325077
1.669011,12,18.350788
4.604163,13,18.37906
-4.921623,9,18.3984
5.922637,20,18.443597
-0.355109,13,18.471463
6.826176,23,18.523902
18.011329,36,18.609001
-4.359623,10,18.632221
-1.68782,13,18.660985
14.364599,30,18.731089
-3.984623,18,18.77415
5.496524,29,18.841148
-0.22125,11,18.86728
3.263282,12,18.894497
3.064172,24,18.947919
2.361501,15,18.982965
2.176713,15,19.017535
-5.751781,12,19.045066
3.628655,24,19.09832
2.489358,13,19.129524
-2.386421,10,19.153879
-4.238739,12,19.180811
-2.204039,19,19.225248
7.457941,22,19.277597
7.269758,28,19.343061
0.759761,12,19.372033
3.100813,16,19.41029
10.773186,36,19.496479
2.782773,24,19.552933
-3.168823,12,19.581114
-3.630581,10,19.605319
-5.314542,19,19.648296
6.181352,46,19.755573
0.070466,20,19.802514
-1.048932,15,19.838974
2.865028,30,19.910419
0.880808,10,19.934022
-6.375515,15,19.966764
5.312699,23,20.01822
-2.969913,11,20.042766
-8.259931,18,20.083861
0.2327,12,20.111756
-0.190088,17,20.150287
-1.412118,25,20.205477
16.898266,39,20.292428
6.547393,22,20.343588
10.353151,48,20.459361
-1.144997,9,20.482658
2.789689,21,20.536003
1.203822,12,20.568362
-11.024484,17,20.609611
-2.578232,11,20.637718
-9.409058,26,20.703407
-0.858725,13,20.734307
1.342445,25,20.793591
-0.47214,18,20.835532
2.4173,14,20.869541
-0.10719,21,20.91825
-4.479998,24,20.974627
0.575708,21,21.024107
-4.201808,15,21.058727
-1.975495,27,21.122664
-0.861046,21,21.17604
0.861943,13,21.212757
4.168101,16,21.255403
-4.576274,15,21.292891
3.588902,33,21.358914
-0.184804,20,21.39915
9.692748,28,21.462685
-0.797386,18,21.503696
-1.720758,22,21.558629
3.856602,18,21.606833
6.897232,23,25.133036
-5.008099,17,25.186587
0.368494,10,25.218132
1.122685,16,25.266322
25.189353,42,25.400417
-5.037761,16,25.451896
2.700798,17,25.507537
-0.448032,11,25.544536
17.9108,43,25.681474
3.10919,13,25.713523
-4.237035,15,25.746654
-4.886322,8,25.763887
2.785821,21,25.810282
3.134781,20,25.856808
-3.178526,14,25.889225
2.440669,19,25.930973
21.546736,38,26.022979
5.269528,25,26.078278
3.745418,13,26.107237
-2.801478,12,26.132595
0.367782,15,26.164479
6.514982,25,26.21815
5.24888,20,26.264007
-1.954221,27,26.322551
-3.314339,25,26.373103
8.300313,21,26.421829
-1.995708,23,26.474004
-6.246876,9,26.495813
15.973602,39,26.585329
4.113643,15,26.62015
3.909905,17,26.658952
2.929468,29,26.723842
-2.936692,10,26.746189
-6.81768,14,26.777535
-1.624167,26,26.836732
9.597114,34,26.914425
6.377458,24,26.96975
-2.718994,12,26.998217
22.574647,47,27.105991
5.016735,21,27.155497
5.864806,17,27.196088
6.699484,24,27.252572
-1.750274,17,27.291554
40.814978,46,27.397143
0.470423,13,27.426978
-6.518459,11,27.451619
-2.83216,9,27.473104
3.677807,19,27.517487
-0.931122,10,27.540913
3.601069,19,27.584534
4.025479,16,27.621209
-4.748634,19,27.663376
-1.332176,8,27.68259
-1.896327,11,27.70851
3.57105,17,27.747878
-3.297384,12,27.775704
-1.790071,17,27.8156
3.801162,29,27.881282
7.765575,18,27.923155
-5.602964,12,27.950155
1.326035,12,27.977431
3.658704,19,28.021284
-4.011377,10,28.043571
-7.273332,27,28.103821
-2.744404,11,28.129204
-3.327677,25,28.185517
13.979948,30,28.253837
2.689771,19,28.29842
1.181424,14,28.329953
-2.402268,23,28.382301
12.990192,26,28.441333
-2.123549,10,28.464897
14.723726,24,28.519033
1.259603,15,28.554214
-5.149152,20,28.600626
-4.481187,14,28.63353
-1.389656,13,28.663392
16.48517,41,28.759276
-5.660275,31,28.830212
3.315902,21,28.878116
0.822929,19,28.922181
5.02047,20,28.967694
-0.684342,18,29.008456
5.939888,15,29.043532
-2.296297,10,29.067107
8.325889,25,29.123056
2.33685,44,29.221924
2.65281,13,29.252327
17.32103,46,29.359815
-4.424669,8,29.377904
0.218464,10,29.401106
-1.646849,16,29.436826
6.410454,22,29.488225
7.502997,23,29.541988
9.473632,24,29.596513
10.836069,23,29.648723
9.822162,30,29.716989
11.752449,34,29.794004
10.112879,49,29.904739
-1.69647,13,29.935028
-0.681107,9,33.434868
0.442244,18,33.48327
0.771179,14,33.521858
6.694181,24,33.586123
4.903837,19,33.636364
7.783962,21,33.683788
5.34803,15,33.715959
1.729524,17,33.758086
2.043024,15,33.798572
9.44085,25,33.85668
26.832802,64,34.000824
5.238759,17,34.03894
4.559034,23,34.089905
-2.761694,8,34.108124
1.192918,19,34.151866
3.074013,27,34.213804
4.302408,16,34.24988
15.286708,29,34.315283
-1.156571,25,34.371436
8.102804,20,34.416911
6.865669,18,34.458932
12.980375,41,34.550622
4.435995,23,34.601246
1.922408,13,34.631127
26.83172,41,34.735205
26.3711,49,34.862243
2.293982,13,34.890951
8.774034,24,34.94614
22.335189,32,35.02358
7.514088,21,35.070191
0.488371,13,35.099085
12.248552,24,35.15294
9.419142,23,35.204838
3.004373,14,35.236945
-4.791818,11,35.261315
6.965365,28,35.33004
5.050863,21,35.382437
1.593112,24,35.441883
11.954733,31,35.522383
9.190516,28,35.593378
0.480794,20,35.643697
-3.926611,13,35.676354
-1.684882,12,35.707082
3.292318,21,35.76112
-0.257824,10,35.786675
-3.18293,14,35.828793
-1.464351,14,35.870562
-1.151309,16,35.911057
8.474334,35,35.997742
1.646468,52,36.105201
7.918532,25,36.162301
-2.486424,14,36.19714
