epoch,avg_reward,option 0 dur,option 1 dur,option 2 dur,option 0 std,option 1 std,option 2 std,option 0 term,option 1 term,option 2 term,option 0 adv,option 1 adv,option 2 adv
1,-67.61689344650634,1036,484,528,1.0,1.0,1.0,0.5516698956489563,0.6444745659828186,0.4974629580974579,-0.9925103783607483,-0.18690551817417145,0.03449569270014763
2,-68.87679784243855,386,466,1196,0.9917235970497131,0.9924135804176331,0.9988582730293274,0.4312989413738251,0.4072500467300415,0.4061720073223114,-1.012377381324768,-0.6044818162918091,-0.024391628801822662
3,-66.63442310487225,751,746,551,0.9846827983856201,0.9898120164871216,1.00175142288208,0.52882981300354,0.5192645788192749,0.5755659937858582,-0.6581910252571106,-0.13811998069286346,-0.0823204293847084
4,-63.60093188163221,680,499,869,0.9673103094100952,0.9855156540870667,0.986714243888855,0.6552504897117615,0.5551416277885437,0.5413302183151245,-0.7235140800476074,-0.2675110101699829,0.0680200457572937
5,-62.077824071395085,428,409,1211,0.9645586609840393,0.9799240827560425,0.9715083241462708,0.8402298092842102,0.6556422710418701,0.41872766613960266,-0.5274144411087036,-0.19122140109539032,0.17164938151836395
6,-61.596212538668794,249,179,1620,0.9588221311569214,0.9674736857414246,0.9580522179603577,0.9084960222244263,0.7306038737297058,0.1418134868144989,-0.2509429156780243,-0.24022303521633148,0.17626957595348358
7,-61.487494307530746,95,55,1898,0.9497123956680298,0.972705602645874,0.9470757842063904,0.9497358798980713,0.7908835411071777,0.035804346203804016,0.0,0.0,0.1735321283340454
8,-60.69306840988109,31,18,1999,0.9497123956680298,0.972705602645874,0.9252654314041138,0.942276656627655,0.8032855987548828,0.009466317482292652,0.0,0.0,0.3785887360572815
9,-59.77775337199531,19,8,2021,0.9497123956680298,0.972705602645874,0.9120408892631531,0.9725781679153442,0.8219070434570312,0.0027223441284149885,0.0,0.0,0.5790219306945801
10,-59.448040052747444,3,2,2043,0.9497123956680298,0.972705602645874,0.9111924767494202,0.9745822548866272,0.8087178468704224,0.0008240651804953814,0.0,0.0,0.7688244581222534
11,-58.4623937650849,9,0,2039,0.9497123956680298,1.0,0.8971183896064758,0.9551690816879272,0.7574095726013184,0.0006005946779623628,0.0,0.0,0.7916539907455444
12,-58.098062444269885,8,12,2028,0.9497123956680298,0.972705602645874,0.8798013925552368,0.9336948990821838,0.7095233798027039,0.0018807908054441214,0.0686069130897522,0.0,0.3066244423389435
13,-57.42550128376516,7,7,2034,0.9434471726417542,0.972705602645874,0.8659065365791321,0.9461086392402649,0.8370553851127625,0.0015223947120830417,0.0,0.0,1.2343580722808838
14,-56.90715811580924,6,1,2041,0.9434471726417542,0.972705602645874,0.8523284792900085,0.9413707852363586,0.8360352516174316,0.0006646075053140521,0.0,0.0,1.3068435192108154
15,-55.50648862020791,3,2,2043,0.9434471726417542,0.972705602645874,0.8456515669822693,0.9420402646064758,0.817642331123352,0.0004248108889441937,0.0,0.0,1.5229790210723877
16,-54.529487174801375,2,2,2044,0.9434471726417542,0.972705602645874,0.835951566696167,0.9330955743789673,0.8313582539558411,0.0001480771170463413,0.0,0.0,1.6262493133544922
17,-53.55160003646288,6,2,2040,0.9434471726417542,0.972705602645874,0.8242679238319397,0.9227625131607056,0.8191179633140564,0.00010589282464934513,0.0,0.0,1.6640931367874146
18,-52.58314372444746,6,0,2042,0.9434471726417542,1.0,0.8138823509216309,0.9204748868942261,0.8070545792579651,4.6783985453657806e-05,0.0,0.0,1.7452622652053833
19,-51.6853212754197,1,0,2047,0.9434471726417542,1.0,0.8032792210578918,0.9162932634353638,0.8077733516693115,2.100632082147058e-05,0.0,0.0,1.7890751361846924
20,-50.85310147479464,0,0,2048,1.0,1.0,0.7938305139541626,0.9216826558113098,0.80584317445755,8.761890057940036e-06,0.0,0.0,1.8330514430999756
21,-49.78858287238172,1,4,2043,0.9434471726417542,0.972705602645874,0.7849027514457703,0.9230993986129761,0.8093562126159668,3.121351028312347e-06,0.0,0.0,2.010463237762451
22,-48.81143206495021,3,5,2040,0.9434471726417542,0.972705602645874,0.7760905623435974,0.9235144257545471,0.8271976709365845,2.3632339889445575e-06,0.0,0.0,2.2157325744628906
23,-47.94542495398112,2,1,2045,0.9434471726417542,0.972705602645874,0.7626564502716064,0.9195704460144043,0.8318822383880615,1.5239987760651275e-06,0.0,0.0,2.162768840789795
24,-47.07446366903301,2,1,2045,0.9434471726417542,0.972705602645874,0.752511739730835,0.9332389235496521,0.8123295307159424,8.8317341351285e-07,0.0,0.0,2.3960819244384766
25,-46.13017908815005,0,0,2048,1.0,1.0,0.7417932152748108,0.9028794169425964,0.8581833839416504,5.506544766831212e-07,0.0,0.0,2.4674930572509766
26,-45.36786339800877,2,1,2045,0.9434471726417542,0.972705602645874,0.7284513711929321,0.9046699404716492,0.8330541849136353,3.167418753946549e-07,0.0,0.0,2.6322743892669678
27,-44.41962274547865,2,2,2044,0.9434471726417542,0.972705602645874,0.7141336798667908,0.9088946580886841,0.847124457359314,1.902176052226423e-07,0.0,0.0,2.872546672821045
28,-43.43204284642362,2,2,2044,0.9434471726417542,0.972705602645874,0.7013406753540039,0.8921372294425964,0.8195067644119263,5.720236231354647e-07,0.0,0.0,2.993690252304077
29,-42.490315342923786,5,2,2041,0.9434471726417542,0.972705602645874,0.6914793848991394,0.8865647912025452,0.8372856378555298,3.761793436751759e-07,0.0,0.0,2.999873638153076
30,-41.51167552033808,7,6,2035,0.9434471726417542,0.972705602645874,0.6849012970924377,0.8714287877082825,0.8365023732185364,2.0049678539635352e-07,0.0,0.0,3.3327760696411133
31,-40.78669137611572,0,0,2048,1.0,1.0,0.6739844083786011,0.8434848785400391,0.8611818552017212,1.7236210680948716e-07,0.0,0.0,3.287320137023926
32,-40.60792027925599,4,1,2043,0.9434471726417542,0.972705602645874,0.6706575155258179,0.843686580657959,0.8490892052650452,3.149619942632853e-07,0.0,0.0,3.4056899547576904
