#{"env_id": "Hopper-v2", "t_start": 1534906928.532953}
r,l,t
12.2946,15,1.028422
17.362325,42,1.197366
12.711808,14,1.25111
15.945865,19,1.321221
15.050785,15,1.379979
7.701012,12,1.426399
30.477194,27,1.534607
14.299683,18,1.602301
10.726003,16,1.665149
5.366438,21,1.749101
6.035541,12,1.798263
11.054505,15,1.857438
14.192939,22,1.943228
18.771853,17,2.007921
7.034964,10,2.047718
8.685548,13,2.10077
7.10346,12,2.149799
5.440558,13,2.203166
13.065757,17,2.269569
101.624203,61,2.499417
16.879386,21,2.581272
3.678315,7,2.609461
8.293454,15,2.670506
10.511314,13,2.722849
33.071711,28,2.834788
14.781876,16,2.898765
9.829106,16,2.961151
8.649797,16,3.026633
13.714896,24,3.122421
30.057753,26,3.228678
19.074065,18,3.297779
23.960177,21,3.377209
47.539131,64,3.634544
6.012412,8,3.666088
20.393402,24,3.761986
7.771985,11,3.805706
8.988899,20,3.88473
19.347755,30,4.002246
17.657802,25,4.102623
7.166768,12,4.151947
33.834049,36,4.289581
16.485293,25,4.38885
13.742613,16,4.450717
4.61395,7,4.479884
9.751728,12,4.526335
8.658956,18,4.598644
5.674724,19,4.676081
10.421174,23,4.768994
8.753712,18,4.846066
11.037507,13,4.898484
8.667281,15,4.956546
6.141598,23,5.048095
10.514089,13,5.09807
12.746771,14,5.15271
21.297351,21,5.232025
11.884483,14,5.284292
6.32537,12,5.331624
7.829562,10,5.370739
12.930907,24,5.468322
8.243536,26,5.574771
15.646308,15,5.635664
17.656139,25,5.734551
11.626764,14,5.789273
5.825262,12,5.835325
7.977049,13,5.88024
10.474192,13,5.92931
26.652894,24,6.022671
13.529775,15,6.084496
19.130792,19,6.16414
7.675961,12,6.214537
6.302094,8,6.249604
8.909299,13,6.301476
5.473105,12,6.353742
24.599729,23,6.441649
11.053208,14,6.496442
8.521748,12,6.545671
6.377217,12,6.590758
13.275431,16,6.654897
10.452855,15,6.713174
10.74215,12,6.758985
8.231617,12,6.809491
9.99224,11,6.853722
14.843175,25,6.959062
22.142173,25,7.057124
7.093582,16,7.122701
49.162311,35,7.253232
5.291629,22,7.33553
12.989518,26,7.429063
12.900614,16,7.488452
8.026978,12,7.534168
15.921666,23,7.625071
5.651476,13,7.670471
13.114059,19,7.736213
26.024451,22,7.812761
9.29841,13,7.864688
6.060563,15,7.922306
7.746181,18,7.992193
9.104189,17,8.057288
15.792764,18,8.127836
7.138064,18,8.197251
30.037064,33,8.329115
14.671254,21,8.399663
11.608276,15,8.449874
6.456657,9,8.480005
16.967064,17,8.558583
8.878206,16,8.618425
8.070621,11,8.65946
23.971115,28,8.754208
8.202468,13,8.798733
11.897779,14,8.846173
9.533928,11,8.883296
4.895435,9,8.916263
13.830697,19,14.595092
16.785175,25,14.70136
24.803693,22,14.770427
9.552577,12,14.81926
10.833829,17,14.904289
7.939578,11,14.942809
41.56741,47,15.099367
31.46073,36,15.227793
25.444384,27,15.317282
22.47629,21,15.386348
11.025589,28,15.480071
9.970314,16,15.546174
21.173319,21,15.626738
13.732076,20,15.704582
8.987119,12,15.751318
10.447819,13,15.799903
11.654258,16,15.86496
11.486851,19,15.943463
11.881775,18,16.020032
8.575426,10,16.061429
13.889405,15,16.124706
8.116625,13,16.175556
13.394141,18,16.249398
15.820167,22,16.339309
21.567874,36,16.486833
33.243609,27,16.590658
23.543402,28,16.700239
19.170163,19,16.775822
16.379983,20,16.854775
14.89132,17,16.921875
5.800992,10,16.961823
6.350527,9,16.99779
8.98621,16,17.062157
17.006718,25,17.162022
9.271551,24,17.254898
5.253365,9,17.29085
10.125719,11,17.331677
8.179868,15,17.393631
45.880893,35,17.533332
12.473632,24,17.618043
15.127278,26,17.69995
39.584959,32,17.802945
10.972204,17,17.873437
11.301967,19,17.942466
5.614059,12,17.984862
11.867262,34,18.10223
14.964084,20,18.171002
10.018989,13,18.223263
12.704641,18,18.295999
7.802403,10,18.334582
13.926088,18,18.406677
8.629153,12,18.455518
4.292824,7,18.484203
6.437766,12,18.533555
11.521676,14,18.586572
6.21974,10,18.627269
27.79504,28,18.737892
4.475538,9,18.772211
17.046101,25,18.872191
11.516421,17,18.938926
23.283671,22,19.025889
12.163553,15,19.084775
6.485828,9,19.117377
13.625554,24,19.210165
23.065243,21,19.292831
9.821458,24,19.38364
12.428797,23,19.471328
14.011644,16,19.533858
13.93114,15,19.5942
9.164372,16,19.661077
40.884517,51,19.867069
7.046654,11,19.911155
10.309319,11,19.954339
7.033506,18,20.026216
12.577683,38,20.179672
15.546169,16,20.245147
7.709946,19,20.324877
9.219581,12,20.373225
95.392909,91,20.712354
7.126559,18,20.777956
16.245579,17,20.843969
3.745311,10,20.881533
12.983552,15,20.943601
9.501311,11,20.988235
13.174537,15,21.048248
15.444725,23,21.141725
12.965213,14,21.198812
11.881277,17,21.262915
28.350081,38,21.405456
8.003798,10,21.446846
20.384705,34,21.585163
17.197302,23,21.660076
17.939335,18,21.726363
6.375087,10,21.76825
19.49076,38,21.918548
15.368161,20,21.998656
8.542692,10,22.039917
9.884389,23,22.131988
12.231537,13,22.184824
2.069436,23,22.276134
9.775292,27,22.383973
18.967504,28,27.476144
17.387947,25,27.57579
7.88405,15,27.634459
8.705828,11,27.680705
17.69653,16,27.740327
9.14491,11,27.785632
9.517778,12,27.836148
19.711199,19,27.914657
11.737535,14,27.972352
9.25835,11,28.021162
15.758757,25,28.122527
9.48245,15,28.185654
9.186861,11,28.233431
110.615902,65,28.489371
12.571046,29,28.605974
6.858631,12,28.65137
90.224207,60,28.883042
42.105398,51,29.081011
132.46912,78,29.380868
17.749329,20,29.462166
18.6069,20,29.548044
8.330951,18,29.625924
8.916281,12,29.677054
10.872168,21,29.766408
9.95673,13,29.821643
31.91769,31,29.953555
50.372092,42,30.126541
17.514541,26,30.22815
14.456518,22,30.314921
21.694625,25,30.408951
38.293587,37,30.5523
7.388619,11,30.596634
8.041426,12,30.644109
9.584159,12,30.690675
20.445641,30,30.810186
9.193029,17,30.879761
80.373759,52,31.09652
15.040682,25,31.198785
9.119926,13,31.252279
13.581372,22,31.337704
19.34636,26,31.44715
7.37095,13,31.498408
13.882663,27,31.603042
13.857808,16,31.670464
6.964904,10,31.711142
60.86391,41,31.878446
152.031847,93,32.24962
12.908707,17,32.317461
9.638808,13,32.370141
58.375327,37,32.518483
43.590626,34,32.651421
15.021141,17,32.719476
15.252899,18,32.792819
32.655207,32,32.918753
50.689303,38,33.062189
17.273451,18,33.139339
11.630382,14,33.192215
25.964761,24,33.284668
85.45917,51,33.48434
15.557913,27,33.598506
12.182489,13,33.651198
35.355183,35,33.782956
10.268529,14,33.837447
10.789724,16,33.901695
21.257355,35,34.033152
32.45077,52,34.236072
49.019776,35,34.37499
26.778388,24,34.464953
12.552317,14,34.521104
11.642263,20,34.598547
27.034596,24,34.695552
23.955586,33,34.825293
88.041477,82,35.140197
12.190145,23,35.230196
14.740585,16,35.292804
14.653753,23,35.372487
25.450597,25,35.467052
35.467277,30,35.564871
10.740781,17,40.185223
151.866448,100,40.519959
34.711706,30,40.621299
33.364649,29,40.720168
26.057993,24,40.805694
156.579416,91,41.119066
9.874322,13,41.164521
23.311041,36,41.28781
9.644508,21,41.365569
101.936335,58,41.565246
7.418776,11,41.604169
15.276672,19,41.669194
4.791809,8,41.69734
12.244282,20,41.766511
11.964687,13,41.809957
14.151626,16,41.864382
32.343347,31,41.968659
19.319964,18,42.029711
10.71343,18,42.092289
45.689688,40,42.228363
71.5639,49,42.393011
8.249564,15,42.445203
10.662377,14,42.493472
74.348365,64,42.707553
21.988403,29,42.805732
9.810729,12,42.847235
47.377507,33,42.959441
44.180747,38,43.087672
92.792369,68,43.314018
120.37207,64,43.526861
18.572729,20,43.595461
10.250877,12,43.637871
14.100309,15,43.689176
72.114902,49,43.852548
42.691916,34,43.966551
48.717933,40,44.107203
29.063321,26,44.195022
7.373863,10,44.228963
60.154258,45,44.382098
125.489533,67,44.60295
181.172875,96,44.919135
7.359149,9,44.950039
79.961754,66,45.171717
36.40083,29,45.269803
43.266392,54,45.455137
38.018934,34,45.570208
3.986069,9,45.602957
12.836032,16,45.658358
18.194868,17,45.718492
89.001432,65,45.946334
9.011154,11,45.984065
136.684416,82,46.264419
10.315106,13,46.309485
24.312086,25,46.401616
119.185576,64,46.626016
58.673003,36,46.765824
31.122635,32,46.881154
30.702109,26,46.989896
10.555048,12,47.038809
127.120447,67,52.41859
108.127693,61,52.630018
116.314613,73,52.888916
15.588981,17,52.956445
61.706312,47,53.142974
37.309289,26,53.24596
11.063971,15,53.307738
74.834905,52,53.534847
152.942858,98,53.918057
86.361558,51,54.116314
15.058243,18,54.186841
58.73506,42,54.3498
91.511202,52,54.560245
51.503948,40,54.719368
74.970776,50,54.918205
54.528141,42,55.088777
24.958957,22,55.175905
41.264148,44,55.34676
59.07494,43,55.528092
18.149555,25,55.62812
100.065346,67,55.880757
67.484783,40,56.024244
95.144083,63,56.235569
14.902826,14,56.28302
145.636278,91,56.625052
18.559608,26,56.722843
68.868251,42,56.867466
131.659221,73,57.10777
64.083308,50,57.276065
129.233848,75,57.526592
98.723795,56,57.712669
69.208525,47,57.868847
3.912933,7,57.893721
71.707043,49,58.05708
8.429365,12,58.097961
28.882248,25,58.181829
83.291417,51,58.35163
7.473174,11,58.389533
16.171442,41,58.531886
59.942642,36,58.650932
85.44374,54,58.835049
63.458975,54,59.020102
14.646898,25,59.112637
146.715275,96,59.454423
10.746479,19,59.528376
