epoch,avg_reward,option 0 dur,option 1 dur,option 2 dur,option 0 std,option 1 std,option 2 std,option 0 term,option 1 term,option 2 term,option 0 adv,option 1 adv,option 2 adv
1,5.239778864494538,886,801,361,1.0,1.0,1.0,0.47542521357536316,0.658908486366272,0.30600735545158386,0.6383426189422607,2.2150914669036865,0.9892129302024841
2,5.215428694844206,720,416,912,0.9752522706985474,1.01514732837677,0.9837554693222046,0.5395209789276123,0.45813772082328796,0.4838241934776306,0.7416136264801025,0.08945740014314651,0.05974884703755379
3,5.997128682739582,740,449,859,0.9367261528968811,0.9984419941902161,0.9388643503189087,0.46805664896965027,0.5456122159957886,0.3703360855579376,0.4561605155467987,0.0034890298265963793,0.03768163546919823
4,6.5718179114827,901,334,813,0.8525105714797974,0.9492237567901611,0.8843726515769958,0.3835013806819916,0.5390536189079285,0.2630973756313324,0.41644519567489624,0.014999551698565483,-0.010198804549872875
5,7.74320687701724,1078,360,610,0.7965030670166016,0.9081481099128723,0.8320881128311157,0.3348067104816437,0.49395522475242615,0.21142685413360596,0.3665756583213806,-0.14460201561450958,-0.18629014492034912
6,9.384642860318673,1301,247,500,0.7225987911224365,0.8723329305648804,0.7855725884437561,0.21504175662994385,0.5551493763923645,0.16496722400188446,0.3558352589607239,-0.08910935372114182,-0.08764158189296722
7,10.980141226019098,1531,148,369,0.6689725518226624,0.8287259340286255,0.7438380718231201,0.13208390772342682,0.5778839588165283,0.1317901313304901,0.4906149208545685,0.0,-0.07634017616510391
8,12.144067743666062,1562,118,368,0.6165972948074341,0.8287259340286255,0.7065818309783936,0.13730400800704956,0.6455599665641785,0.12014319002628326,0.5937207937240601,-0.5889332890510559,-0.4231155216693878
9,12.477043035652747,1522,104,422,0.5772302746772766,0.7679491639137268,0.6750070452690125,0.12231704592704773,0.7348051071166992,0.1750534474849701,0.38269752264022827,0.0,-0.04917579144239426
10,13.169425506466396,1202,209,637,0.5403975248336792,0.7679491639137268,0.6403997540473938,0.19726276397705078,0.7354258894920349,0.1528768390417099,0.7052817344665527,-0.11692973971366882,-0.4605158865451813
11,14.324331791176178,1252,157,639,0.5082978010177612,0.733911395072937,0.6135503053665161,0.11352630704641342,0.7702153325080872,0.17103497684001923,0.5449950098991394,0.0,-0.21540895104408264
12,15.74005980203737,1383,120,545,0.4851972460746765,0.733911395072937,0.59433513879776,0.0947980061173439,0.7488796710968018,0.23449203372001648,0.9159694910049438,-0.6065627932548523,-0.7487483024597168
13,18.984102234411058,1538,82,428,0.46685507893562317,0.6995368599891663,0.5651845335960388,0.07872792333364487,0.7980450987815857,0.29298272728919983,1.5120171308517456,0.0,-0.8517184257507324
14,23.381083302362573,1820,60,168,0.44477781653404236,0.699536919593811,0.5491441488265991,0.04102622717618942,0.8230994343757629,0.4372337758541107,2.3871939182281494,0.0,-0.34584829211235046
15,25.657459499157508,1910,71,67,0.4352914094924927,0.699536919593811,0.542402446269989,0.04900222644209862,0.7643215656280518,0.6462661027908325,2.5850327014923096,-1.4471355676651,0.0
16,26.30948858655518,1804,161,83,0.4238095283508301,0.6545591354370117,0.5422173738479614,0.07185820490121841,0.7989374995231628,0.6471334099769592,2.173964738845825,-0.40253710746765137,0.0
17,28.459842702244046,1855,116,77,0.40492329001426697,0.6473900079727173,0.5422173738479614,0.07786872237920761,0.8348097801208496,0.6807473301887512,2.4848151206970215,0.0,-0.9338725209236145
18,31.469771202577526,1851,105,92,0.3861444890499115,0.6472336053848267,0.5143428444862366,0.0576501302421093,0.8036221861839294,0.811069667339325,2.297431468963623,-0.4180121421813965,0.0
19,34.082661479597725,1892,92,64,0.36991289258003235,0.6302847862243652,0.5135371685028076,0.03919503465294838,0.8108595609664917,0.8442709445953369,2.818275213241577,0.0,0.0
20,33.619887644952804,1889,79,80,0.3550055921077728,0.6297351121902466,0.5135371685028076,0.03991246595978737,0.8136342167854309,0.7786166071891785,3.2472198009490967,0.3237733244895935,-1.2849503755569458
21,36.35775885050062,1860,71,117,0.33890417218208313,0.5991883873939514,0.4960188865661621,0.05751693993806839,0.7563797235488892,0.8275564312934875,2.0319013595581055,0.0,0.0
22,37.85539392438996,1648,102,298,0.3224920928478241,0.599188506603241,0.4958973526954651,0.14588089287281036,0.7760996222496033,0.7898935675621033,2.986788511276245,-1.1176574230194092,-0.5591830015182495
23,36.903513287212,1757,127,164,0.30900076031684875,0.571656346321106,0.4817504584789276,0.09156280010938644,0.7403658628463745,0.8878799676895142,1.8932679891586304,0.0,-0.7029345631599426
24,39.54118061879287,1874,64,110,0.3013562858104706,0.5716564059257507,0.46908706426620483,0.055366288870573044,0.8034583330154419,0.9219027757644653,3.104548215866089,-1.6721134185791016,0.0
25,42.33432557968496,1825,93,130,0.29326558113098145,0.5455812215805054,0.4688604176044464,0.07477220892906189,0.8706074953079224,0.8822031021118164,3.66678524017334,0.0,-0.42791739106178284
26,46.05100637343335,1900,57,91,0.28391918540000916,0.5446888208389282,0.44775429368019104,0.04410140588879585,0.8623598217964172,0.9344446063041687,3.8530402183532715,0.0,0.0
27,51.62917656128034,1908,34,106,0.27130043506622314,0.5446888208389282,0.44718968868255615,0.036606233566999435,0.8712966442108154,0.9147578477859497,6.147488594055176,-2.5254533290863037,-0.9110461473464966
28,55.53776152077509,1931,59,58,0.2707102596759796,0.5259100198745728,0.4439803957939148,0.024812212213873863,0.8628878593444824,0.940151572227478,4.378940582275391,0.0,0.0
