epoch,avg_reward,option 0 dur,option 1 dur,option 2 dur,option 0 std,option 1 std,option 2 std,option 0 term,option 1 term,option 2 term,option 0 adv,option 1 adv,option 2 adv
1,0.7480000000000001,601,773,674,1.0,1.0,1.0,0.49615147709846497,0.5013388991355896,0.4921676516532898,0.06975679099559784,-0.0758468359708786,0.015715405344963074
2,0.7959999999999999,1104,219,725,1.016794204711914,1.0380702018737793,0.9816237092018127,0.48862889409065247,0.4769091308116913,0.4962892532348633,0.09699317067861557,0.049251046031713486,0.03174596652388573
3,0.9490000000000001,1115,292,641,0.973310649394989,1.0220704078674316,0.9773963093757629,0.4940110445022583,0.4733201563358307,0.45110467076301575,0.10868934541940689,-0.008617444895207882,0.09042728692293167
4,1.3660000000000003,1172,310,566,0.9248349070549011,0.9887737035751343,0.9509047269821167,0.4637032151222229,0.4559631645679474,0.48269540071487427,0.15659645199775696,0.1474536955356598,-0.06606156378984451
5,2.108,1204,353,491,0.8927911520004272,0.9404435157775879,0.9134282469749451,0.4527815878391266,0.4570825397968292,0.47552570700645447,0.25270792841911316,0.18063053488731384,0.18013623356819153
6,2.988999999999999,1190,371,487,0.8628827333450317,0.9227099418640137,0.8854301571846008,0.4475347697734833,0.46520519256591797,0.4660627841949463,0.4209306538105011,0.03972519189119339,0.1260221302509308
7,4.409999999999996,1330,517,201,0.843970000743866,0.8808919191360474,0.8642244338989258,0.38624072074890137,0.4714389443397522,0.5088311433792114,0.5816972255706787,0.07300689071416855,-0.04472436010837555
8,5.790999999999994,1302,622,124,0.8382851481437683,0.8534125089645386,0.8703314065933228,0.37167975306510925,0.4432108402252197,0.4920480251312256,0.6253026127815247,0.006954265292733908,0.0
9,6.727999999999993,1591,419,38,0.8202953934669495,0.8385297060012817,0.8707928657531738,0.1782018393278122,0.4885667860507965,0.6174981594085693,0.8554496169090271,0.033678580075502396,-0.2269487828016281
10,8.04599999999999,1720,325,3,0.8075430989265442,0.844881534576416,0.8508368134498596,0.13993899524211884,0.42302027344703674,0.6475000381469727,1.0012075901031494,-0.024698477238416672,0.0
11,9.412999999999995,1954,90,4,0.8099931478500366,0.8381460309028625,0.8499382734298706,0.006128981709480286,0.47096487879753113,0.7406898140907288,1.443821668624878,0.0,0.0
12,10.771000000000004,2004,44,0,0.8160417079925537,0.8377826809883118,1.0,0.003593929810449481,0.45706188678741455,0.7352467775344849,1.9809718132019043,0.0,0.0
13,13.043999999999981,2024,24,0,0.8182735443115234,0.8377826809883118,1.0,0.004283668473362923,0.35433149337768555,0.4517224431037903,1.4262311458587646,0.0,0.0
14,14.615999999999971,2041,7,0,0.7976454496383667,0.8377827405929565,1.0,0.0003190520219504833,0.20193283259868622,0.27408891916275024,0.800926923751831,-0.07589814066886902,0.0
15,16.495999999999942,2047,1,0,0.7936639785766602,0.8209453821182251,1.0,1.72040472534718e-05,0.40283551812171936,0.5636162161827087,2.096580743789673,0.0,0.0
16,18.265999999999917,2027,21,0,0.7803919911384583,0.8208898901939392,1.0,4.72616784463753e-06,0.4745500087738037,0.6517942547798157,2.953484535217285,0.0,0.0
17,20.009999999999895,2035,13,0,0.7917994856834412,0.8208898305892944,1.0,3.2021719107433455e-06,0.3523743450641632,0.5497824549674988,2.0119810104370117,0.0,0.0
18,22.456999999999876,2037,10,1,0.7824236750602722,0.8208898305892944,0.8499382734298706,2.5331839879072504e-06,0.3262771964073181,0.502936840057373,1.9508967399597168,0.0,0.0
19,24.329999999999846,2027,14,7,0.7620636820793152,0.8208898305892944,0.8499382734298706,6.67981282731489e-07,0.35218456387519836,0.5700189471244812,2.154695749282837,0.0,0.0
20,26.26099999999981,2048,0,0,0.7365117073059082,1.0,1.0,2.2608304561799741e-07,0.39642953872680664,0.6244885921478271,2.6710944175720215,0.0,0.0
21,28.160999999999785,2037,10,1,0.7225876450538635,0.8208898305892944,0.8499382734298706,1.203215731493401e-07,0.3575775921344757,0.5918719172477722,2.466409921646118,0.0,0.0
22,30.085999999999757,2029,8,11,0.7143184542655945,0.8208898305892944,0.8499382734298706,5.270222303010996e-08,0.3210172653198242,0.512442409992218,2.556821346282959,0.0,0.0
23,31.997999999999728,2041,2,5,0.6853574514389038,0.8208898305892944,0.8499382734298706,3.631469525089415e-08,0.286825954914093,0.4974289834499359,2.4458587169647217,0.0,0.0
24,33.8239999999997,2031,10,7,0.6776337623596191,0.8208898305892944,0.8499382734298706,1.5661967722735426e-08,0.3899753987789154,0.6240289807319641,3.2618179321289062,0.0,0.0
25,35.66499999999967,2045,1,2,0.6984167098999023,0.8208898305892944,0.8499382734298706,1.6891391396711697e-08,0.3408423066139221,0.6146650910377502,2.8084716796875,0.0,0.0
26,37.526999999999646,2040,3,5,0.7138427495956421,0.8208898305892944,0.8499382734298706,7.778900190658078e-09,0.3654092252254486,0.5828670859336853,2.5041439533233643,0.0,0.0
27,39.40099999999962,2035,13,0,0.7435280084609985,0.8208898305892944,1.0,9.106081222398643e-09,0.4004567861557007,0.5875193476676941,2.772023916244507,0.0,0.0
28,41.08699999999959,2032,13,3,0.7500278353691101,0.8208898305892944,0.8499382734298706,1.1291547252767486e-08,0.4166182279586792,0.5966956615447998,3.113529682159424,0.0,0.0
29,42.796999999999564,2038,9,1,0.7612892985343933,0.8208898305892944,0.8499382734298706,1.0033135566800411e-07,0.41360631585121155,0.6295164227485657,3.3046200275421143,0.0,0.0
30,45.00299999999953,2041,5,2,0.7795329093933105,0.8208898305892944,0.8499382734298706,4.398088560009228e-09,0.38750946521759033,0.6127929091453552,3.1085636615753174,0.0,0.0
31,46.782999999999504,2040,4,4,0.7543092370033264,0.8208898305892944,0.8499382734298706,4.493766248003794e-09,0.3757571280002594,0.6162154674530029,3.086644411087036,0.0,0.0
32,48.68099999999948,2040,3,5,0.7647138833999634,0.8208898305892944,0.8499382734298706,3.2624254409086006e-09,0.3246929943561554,0.5705869793891907,2.765660285949707,0.0,0.0
33,50.53799999999945,2044,1,3,0.7393126487731934,0.8208898305892944,0.8499382734298706,4.194964819959068e-09,0.30112218856811523,0.5211832523345947,2.767878532409668,0.0,0.0
34,52.38199999999942,2037,3,8,0.7098416686058044,0.8208898305892944,0.8499382734298706,3.894742306442822e-09,0.31271055340766907,0.5791875720024109,3.0260839462280273,0.0,0.0
35,54.143999999999394,2040,6,2,0.7097017765045166,0.8208898305892944,0.8499382734298706,3.016800143029741e-09,0.3203330338001251,0.5730834603309631,2.9379119873046875,0.0,0.0
36,56.00699999999936,2037,5,6,0.7102527022361755,0.8208898305892944,0.8499382734298706,1.0506635561569055e-08,0.23388130962848663,0.420675665140152,2.803426742553711,0.0,0.0
37,57.88599999999934,2043,2,3,0.7017476558685303,0.8208898305892944,0.8499382734298706,4.433689415606068e-09,0.19266459345817566,0.4671218991279602,2.4827020168304443,0.0,0.0
38,59.696999999999306,2031,8,9,0.7124588489532471,0.8208898305892944,0.8499382734298706,1.8780594857048527e-09,0.2663630545139313,0.5190965533256531,2.663208246231079,2.0822973251342773,0.0
39,61.57599999999928,2031,11,6,0.7023295760154724,0.8118764162063599,0.8499382734298706,1.436627483641928e-09,0.23152349889278412,0.598045825958252,3.1493091583251953,0.0,0.0
40,63.28399999999925,2042,1,5,0.6968314051628113,0.8111733794212341,0.8499382734298706,1.02785169264763e-09,0.27774783968925476,0.6723760366439819,4.426578521728516,0.0,0.0
